subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
18,11,OMR rightward,28,SP,564,192,35,0.3546311418958131,0.20131513312343535,0.4282801377648882,0.5514120426388625
18,11,OMR rightward,29,TeO,6511,192,35,0.3949027716486095,0.07802100520485016,1.3231369806698274,-0.4752241367285128
18,11,OMR rightward,30,Th,792,192,35,0.3702578666889446,0.09172391018321302,0.7755142005322392,-0.3611238283787908
18,11,OMR rightward,31,TL,93,192,35,0.3209213347427109,0.22823572907809,-0.32076954781096567,0.7755724162409974
18,11,OMR rightward,32,TS,232,192,35,0.3367107367081613,0.16152681801227564,0.030079287483039053,0.22010572255069533
18,11,OMR rightward,33,TG,18,192,35,0.3226468485624374,-0.009931545214046017,-0.28242772110597375,-1.2075807529924818
18,11,OMR rightward,34,VR,71,192,35,0.2364468214747702,0.0037299822394395864,-2.197837764640004,-1.0938249838740175
18,11,OMR rightward,35,NX,729,192,35,0.3180101625925135,-0.0854996822598333,-0.38545732765671453,-1.836815776657407
18,11,OMR rightward,36,rMON,881,192,35,0.3475300416733661,0.06465717671774258,0.2704899473698939,-0.586501048705899
18,11,OMR rightward,37,rCb,1991,192,35,0.31087955468829753,0.2531596166884179,-0.5439031942960364,0.9831067504644834
18,11,OMR rightward,38,rMOS1,1356,192,35,0.3143046908342122,0.2781681781738135,-0.46779486352156713,1.1913461406793555
18,11,OMR rightward,39,rMOS2,421,192,35,0.31845617943193255,0.2647361851187662,-0.3755465983603111,1.0795016411551877
18,11,OMR rightward,40,rMOS3,1156,192,35,0.3178929169848875,0.2691095596495262,-0.388062586865958,1.1159175240118866
18,11,OMR rightward,41,rMOS4,975,192,35,0.32589064328103795,0.2941385743421992,-0.21034889244329644,1.324327222439563
18,11,OMR rightward,42,rMOS5,1240,192,35,0.3537998916372642,0.2504824231978649,0.4098093188138054,0.9608144990574783
18,11,OMR rightward,43,rIPN,111,192,35,0.29535669697183237,0.2240410283016513,-0.8888292758647626,0.7406443004303558
18,11,OMR rightward,44,rIO,38,192,35,0.3956423974069718,-0.01401273733570087,1.3395718549255269,-1.2415637135581845
18,11,OMR rightward,45,rHc,75,192,35,0.2867358791956661,0.21097833066847957,-1.080388391445458,0.6318748219746898
18,11,OMR rightward,46,rRa,192,192,35,0.3539590379557274,-0.1067609025910287,0.41334563390644286,-2.0138520911842415
18,11,OMR rightward,47,rT,979,192,35,0.40401900230702814,0.2550665019934559,1.5257044316585542,0.9989848581822223
18,11,OMR rightward,48,raRF,507,192,35,0.30804620745516653,0.28021942085939566,-0.6068616634579901,1.2084262724685346
18,11,OMR rightward,49,rimRF,522,192,35,0.31883357438153176,0.23864131148020945,-0.36716068363076965,0.8622168294157955
18,11,OMR rightward,50,rpRF,834,192,35,0.3222801795149652,0.2624210592736529,-0.29057530063593257,1.0602242271168545
18,11,OMR rightward,52,rHb,229,192,35,0.33052752897741555,0.2322181483717495,-0.10731484786546541,0.8087329227249823
18,11,OMR rightward,53,rHi,511,192,35,0.299521786160681,0.2791890498358544,-0.7962787983988796,1.1998466572930435
18,11,OMR rightward,54,rHR,80,192,35,0.2871474446907263,0.16530257700314305,-1.0712431891822551,0.2515454257225754
18,11,OMR rightward,55,rOG,16,192,35,0.22509598979756779,0.053337169460939665,-2.45005922826978,-0.6807596253042035
18,11,OMR rightward,56,rOB,19,192,35,0.40795092697032487,0.027880686002378384,1.6130738704504732,-0.8927287381826656
18,11,OMR rightward,57,rOE,0,192,35,,,,
18,11,OMR rightward,58,rP,892,192,35,0.42719074202190127,0.16898945544011332,2.0405927034555633,0.28224504504931675
18,11,OMR rightward,60,rPT,335,192,35,0.3756876897645681,-0.00472483114363746,0.8961677316858286,-1.164225881754556
18,11,OMR rightward,61,rPO,477,192,35,0.3909992322453745,0.13999367244666974,1.236398277320198,0.040805161636448886
18,11,OMR rightward,62,rPrT,414,192,35,0.29742498785827504,0.26328575519520336,-0.8428707620372304,1.0674243114371826
18,11,OMR rightward,64,rSP,564,192,35,0.3466935362725941,0.22868567459319825,0.2519023563882849,0.7793189883799336
18,11,OMR rightward,65,rTeO,5927,192,35,0.3961600392239408,0.15193397785746582,1.3510741289812782,0.14022878978777364
18,11,OMR rightward,66,rTh,1070,192,35,0.39883272590729957,0.26333719602909206,1.4104626360326584,1.0678526450655434
18,11,OMR rightward,67,rTL,69,192,35,0.3300466447485893,0.1637990997369375,-0.11800034893536819,0.23902638542114096
18,11,OMR rightward,68,rTS,217,192,35,0.31824303860133046,0.12660773679206438,-0.38028269997669717,-0.07065583062407584
18,11,OMR rightward,69,rTG,17,192,35,0.2727084959872733,-0.011549254646946464,-1.392084241082845,-1.2210509730228805
18,11,OMR rightward,70,rVR,65,192,35,0.2934772160022415,0.05384033773640562,-0.9305923338058479,-0.676569881926933
18,11,OMR rightward,71,rNX,710,192,35,0.3399524616995003,-0.06946226105815362,0.10211212571487611,-1.703276595940951
18,12,OMR leftward,0,MON,778,192,35,0.33835549584130964,0.14398501916120915,-0.027795538534999286,-0.4622419131924263
18,12,OMR leftward,1,Cb,1910,192,35,0.3135882533989638,0.36679387064594904,-0.6411029528458895,1.050886307835816
